nl_text,code_snippet
"list all files in directory "".""","for (dirname, dirnames, filenames) in os.walk('.'):
    for subdirname in dirnames:
        print(os.path.join(dirname, subdirname))
    for filename in filenames:
        pass"
creating subplots with differing shapes in matplotlib,plt.show()
can't execute an insert statement in a python script via mysqldb,conn.commit()
finding consecutive consonants in a word,"re.findall('[bcdfghjklmnpqrstvwxyz]+', 'CONCERTATION', re.IGNORECASE)"
"how to make a python script ""pipeable"" in bash?",sys.stdout.write(line)
"i need to securely store a username and password in python, what are my options?","keyring.get_password('system', 'username')"
joining a list that has integer values with python,"print(', '.join(str(x) for x in list_of_ints))"
remove strings containing only white spaces from list,l = [x for x in l if x.strip()]
split a string `s` into integers,l = (int(x) for x in s.split())
how to remove lines in a matplotlib plot,ax.lines.pop(0)
convert a string of bytes into an int (python),"int.from_bytes('y\xcc\xa6\xbb', byteorder='big')"
check if datafram `df` has any nan vlaues,df.isnull().values.any()
finding the index of elements based on a condition using python list comprehension,[i for i in range(len(a)) if a[i] > 2]
how to get names of all the variables defined in methods of a class,"['setUp', 'bar', 'baz', 'var1', 'var2', 'var3', 'var4']"
sort a pandas data frame by column `peak` in ascending and `weeks` in descending order,"df.sort(['Peak', 'Weeks'], ascending=[True, False], inplace=True)"
finding the last occurrence of an item in a list python,last = len(s) - s[::-1].index(x) - 1
python using adblock with selenium and firefox webdriver,ffprofile = webdriver.FirefoxProfile('/Users/username/Downloads/profilemodel')
python: split string by list of separators,"[t.strip() for s in string.split(',') for t in s.split(';')]"
numpy - efficient conversion from tuple to array?,"np.array(x).reshape(2, 2, 4)"
average each two columns of array `data`,"data.reshape(-1, j).mean(axis=1).reshape(data.shape[0], -1)"
save numpy array `x` into text file 'test.txt',"np.savetxt('test.txt', x)"
deleting mulitple columns in pandas,"df.drop(df.ix[:, 'Unnamed: 24':'Unnamed: 60'].head(0).columns, axis=1)"
get element at index 0 of first row and element at index 1 of second row in array `a`,"A[[0, 1], [0, 1]]"
replace nan values in a pandas data frame with the average of columns,"df.apply(lambda x: x.fillna(x.mean()), axis=0)"
print a list of integers `list_of_ints` using string formatting,"print(', '.join(str(x) for x in list_of_ints))"
serve a static html page 'your_template.html' at the root of a django project,"url('^$', TemplateView.as_view(template_name='your_template.html'))"
how to lowercase a python dataframe string column if it has missing values?,df['x'].str.lower()
parse utf-8 encoded html response `response` to beautifulsoup object,soup = BeautifulSoup(response.read().decode('utf-8'))
convert unicode text from list `elems` with index 0 to normal text 'utf-8',elems[0].getText().encode('utf-8')
count the occurrences of items in list `l`,Counter(l)
run bash script with python - typeerror: bufsize must be an integer,"call(['tar', 'xvf', path])"
for loop in python,"list(range(1, 11))"
how to optimize multiprocessing in python,multiprocessing.Process.__init__(self)
reverse sort dictionary `d` based on its values,"sorted(list(d.items()), key=lambda k_v: k_v[1], reverse=True)"
sort list `student_tuples` by second element of each tuple in ascending and third element of each tuple in descending,"print(sorted(student_tuples, key=lambda t: (-t[2], t[0])))"
pandas: how do i select first row in each group by group?,df.drop_duplicates(subset='A')
sum a list of numbers in python,sum(list_of_nums)
"find all files in directory ""/mydir"" with extension "".txt""","os.chdir('/mydir')
for file in glob.glob('*.txt'):
    pass"
removing non numeric characters from a string,new_string = ''.join(ch for ch in your_string if ch.isdigit())
get the indices in array `b` of each element appearing in array `a`,"np.in1d(b, a).nonzero()[0]"
get the highest element in absolute value in a numpy matrix `x`,"max(x.min(), x.max(), key=abs)"
how to use unicode characters in a python string,print('\u25b2'.encode('utf-8'))
adaptable descriptor in python,"self.variable_evidence.arrays.append((self, 'basic_in'))"
invalid syntax error using format with a string in python 3 and matplotlib,"""""""$Solucion \\; {}\\; :\\; {}\\\\$"""""".format(i, value)"
how to print particular json value in python?,a['Z'][0]['A']
how to draw line inside a scatter plot,ax.set_title('ROC Space')
conditionally fill a column of a pandas df with values of a different df,"df1.merge(df2, how='left', on='word')"
how to delete everything after a certain character in a string?,"s = re.match('^.*?\\.zip', s).group(0)"
get the position of a regex match `is` in a string `string`,"re.search('is', String).start()"
format a date object `str_data` into iso fomrat,"datetime.datetime.strptime(str_date, '%m/%d/%Y').date().isoformat()"
replace comma with dot in a string `original_string` using regex,"new_string = re.sub('""(\\d+),(\\d+)""', '\\1.\\2', original_string)"
what is the difference between a string and a byte string?,"""""""tornos"""""".encode('utf-8')"
fastest way to populate a 1d numpy array,"np.fromiter(a, dtype=np.float)"
how to input an integer tuple from user?,"tuple(map(int, input().split(',')))"
testing whether a numpy array contains a given row,"equal([1, 2], a).all(axis=1)"
extract text from webpage using selenium in python,driver.get('https://www.sunnah.com/bukhari/5')
how can i get the index value of a list comprehension?,"{p.id: {'id': p.id, 'position': ind} for ind, p in enumerate(p_list)}"
how can i convert a binary to a float number,"float(int('-0b1110', 0))"
how can i write a binary array as an image in python?,img.save('/tmp/image.bmp')
expat parsing in python 3,"parser.ParseFile(open('sample.xml', 'rb'))"
multidimensional eucledian distance in python,"scipy.spatial.distance.euclidean(A, B)"
get path from a module name,imp.find_module('os')[1]
how to modify a variable inside a lambda function?,"lambda a, b: a + b"
how do i extract all the values of a specific key from a list of dictionaries?,results = [item['value'] for item in test_data]
reading in integer from stdin in python,n = int(input())
pandas group by time windows,s.groupby(grouper).sum()
how can i match the start and end in python's regex?,"re.match('(ftp|http)://.*\\.(jpg|png)$', s)"
how can i split a string into tokens?,"['x', '+', '13.5', '*', '10', 'x', '-', '4', 'e', '1']"
get all possible combination of items from 2-dimensional list `a`,list(itertools.product(*a))
printing lists onto tables in python,"print('\n'.join('  '.join(map(str, row)) for row in t))"
how to merge two python dictionaries in a single expression?,"z = merge_dicts(a, b, c, d, e, f, g)"
normalizing a pandas dataframe by row,"df.div(df.sum(axis=1), axis=0)"
load data containing `utf-8` from file `new.txt` into numpy array `arr`,"arr = numpy.fromiter(codecs.open('new.txt', encoding='utf-8'), dtype='<U2')"
python - convert list of tuples to string,""""""", """""".join(map(str, tups))"
cherrypy interferes with twisted shutting down on windows,"Thread(target=cherrypy.quickstart, args=[Root()]).start()"
writing a list of sentences to a single column in csv with python,writer.writerows([val])
how can i restrict the scope of a multiprocessing process?,"multiprocessing.Process(target=foo, args=(x,)).start()"
list of ints into a list of tuples python,"print(zip(my_list[0::2], my_list[1::2]))"
scale image in matplotlib without changing the axis,"ax.set_ylim(0, 1)"
what is the best way to get the first item from an iterable matching a condition?,next((x for x in range(10) if x > 3))
correct code to remove the vowels from a string in python,""""""""""""".join([x for x in c if x not in vowels])"
produce a string that is suitable as unicode literal from string 'm\\n{ampersand}m\\n{apostrophe}s','M\\N{AMPERSAND}M\\N{APOSTROPHE}s'.encode().decode('unicode-escape')
python: how to filter a list of dictionaries to get all the values of one key,print([a['data'] for a in thedata])
convert radians 1 to degrees,math.cos(math.radians(1))
how do i clone a django model instance object and save it to the database?,obj.save()
python how to pad numpy array with zeros,result = np.zeros(b.shape)
how to convert false to 0 and true to 1 in python,x = int(x == 'true')
passing meta-characters to python as arguments from command line,"""""""\\t\\n\\v\\r"""""".decode('string-escape')"
get the first value from dataframe `df` where column 'letters' is equal to 'c',"df.loc[df['Letters'] == 'C', 'Letters'].values[0]"
how to match beginning of string or character in python,"float(re.findall('(?:^|_)' + par + '(\\d+\\.\\d*)', dir)[0])"
passing table name as a parameter in psycopg2,"cursor.execute('SELECT * FROM %(table)s', {'table': AsIs('my_awesome_table')})"
how to compile a string of python code into a module whose functions can be called?,foo()
convert a list to a dictionary in python,"{'bi': 2, 'double': 2, 'duo': 2, 'two': 2}"
how to count number of rows in a group in pandas group by object?,"df[['col1', 'col2', 'col3', 'col4']]"
replacing instances of a character in a string,"line = line.replace(';', ':')"
python list comprehension for loops,"[(x + y) for x, y in zip('ab', '12345')]"
python: lambda function in list comprehensions,[(lambda x: x * x) for x in range(10)]
combine values from column 'b' and column 'a' of dataframe `df`  into column 'c' of datafram `df`,"df['c'] = np.where(df['a'].isnull, df['b'], df['a'])"
sorting a graph by its edge weight. python,"lst.sort(key=lambda x: (-x[2], x[0]))"
how to convert triangle matrix to square in numpy?,"np.where(np.eye(A.shape[0], dtype=bool), A, A.T + A)"
creating new binary columns from single string column in pandas,pd.get_dummies(df['Speed'])
python: lambda function in list comprehensions,[(lambda x: x * x) for _ in range(3)]
how do i add custom field to python log format string?,"logging.info('Log message', extra={'app_name': 'myapp'})"
python lambda returning none instead of empty string,f = lambda x: '' if x is None else x
iterate over matrices in numpy,np.array(list(g))
i want to create a column of value_counts in my pandas dataframe,df['Counts'] = df.groupby(['Color'])['Value'].transform('count')
sorting a defaultdict by value in python,"sorted(iter(cityPopulation.items()), key=lambda k_v: k_v[1][2], reverse=True)"
download the file from url `url` and save it under file `file_name`,"urllib.request.urlretrieve(url, file_name)"
how to safely remove elements from a list in python,[x for x in a if x <= 1 or x >= 4]
averages of slices on a 1d nparray: how to make it more numpy-thonic?,np.cumsum(a[::-1])[::-1] - np.cumsum(a)
array indexing in numpy,"x[(np.arange(x.shape[0]) != 1), :, :]"
divide values associated with each key in dictionary `d1` from values associated with the same key in dictionary `d2`,"dict((k, float(d2[k]) / d1[k]) for k in d2)"
how do i turn a dataframe into a series of lists?,pd.Series(df.T.to_dict('list'))
how to flush the printed statements in ipython,sys.stdout.flush()
remove object from a list of objects in python,my_list.pop(2)
how to read and write multiple files?,output.close()
how to read integers from a file that are 24bit and little endian using python?,"struct.unpack('<i', bytes + ('\x00' if bytes[2] < '\x80' else '\xff'))"
how to get every single permutation of a string?,"print([''.join(p) for i in range(1, len(s) + 1) for p in permutations(s, i)])"
"select alternate characters of ""h-e-l-l-o- -w-o-r-l-d""",'H-e-l-l-o- -W-o-r-l-d'[::2]
how to filter a dictionary in python?,"dict((k, 'updated') for k, v in d.items() if v is None)"
output data of the first 7 columns of pandas dataframe,"pandas.set_option('display.max_columns', 7)"
python: using a dict to speed sorting of a list of tuples,list_dict = {t[0]: t for t in tuple_list}
using savepoints in python sqlite3,"conn.execute('create table example (A, B);')"
how to plot error bars in polar coordinates in python?,plt.show()
plotting unix timestamps in matplotlib,ax.xaxis.set_major_formatter(xfmt)
python - regex search and findall,"regex = re.compile('((\\d+,)*\\d+)')"
using session in flask app,app.run()
"python, remove all non-alphabet chars from string",""""""""""""".join([i for i in s if i.isalpha()])"
how to check the existence of a row in sqlite with python?,"cursor.execute('insert into components values(?,?)', (1, 'foo'))"
what is the best way to capture output from a process using python?,"process = subprocess.Popen(['python', '-h'], bufsize=1)"
"how to count the repetition of the elements in a list python, django","[('created', 1), ('some', 2), ('here', 2), ('tags', 2)]"
the most efficient way to remove first n elements in a python list?,"[6, 7, 8, 9]"
how to disable the minor ticks of log-plot in matplotlib?,plt.minorticks_off()
numpy: replace every value in the array with the mean of its adjacent elements,"A = np.random.randn(1000, 1000)"
how can i use python itertools.groupby() to group a list of strings by their first character?,"groupby(tags, key=operator.itemgetter(0))"
how do i create a line-break in terminal?,print('hello')
how to make a python http request with post data and cookie?,"print(requests.get(url, data=data, cookies=cookies).text)"
plotting ellipsoid with matplotlib,plt.show()
replacing 'abc' and 'ab' values in column 'brandname' of dataframe `df` with 'a',"df['BrandName'].replace(['ABC', 'AB'], 'A')"
"annoying white space in bar chart (matplotlib, python)",plt.show()
"convert the zip of range `(1, 5)` and range `(7, 11)` into a dictionary","dict(zip(list(range(1, 5)), list(range(7, 11))))"
python: sanitize a string for unicode?,s = s.decode('cp1250')
in python how can i declare a dynamic array,lst.append('a')
create a list where each element is a dictionary with keys 'key1' and 'key2' and values corresponding to each value in the lists referenced by keys 'key1' and 'key2' in dictionary `d`,"[{'key1': a, 'key2': b} for a, b in zip(d['key1'], d['key2'])]"
how to get the length of words in a sentence?,[len(x) for x in s.split()]
map two lists into a dictionary in python,"dict((k, v) for k, v in zip(keys, values))"
get ip address of url in python?,print(socket.gethostbyname('google.com'))
unzip list `original`,"result = ([a for (a, b) in original], [b for (a, b) in original])"
how to make pylab.savefig() save image for 'maximized' window instead of default size,"matplotlib.rc('font', size=6)"
how to determine a numpy-array reshape strategy,"arr = np.arange(3 * 4 * 5).reshape(3, 4, 5)"
parse milliseconds epoch time '1236472051807' to format '%y-%m-%d %h:%m:%s',"time.strftime('%Y-%m-%d %H:%M:%S', time.gmtime(1236472051807 / 1000.0))"
how to export a table dataframe in pyspark to csv?,df.write.format('com.databricks.spark.csv').save('mycsv.csv')
read csv file 'myfile.csv' into array,"df = pd.read_csv('myfile.csv', sep=',', header=None)"
how to return all the minimum indices in numpy,numpy.where(x == x.min())
find row or column containing maximum value in numpy array,"np.argmax(np.max(x, axis=1))"
pandas dataframe groupby two columns and get counts,"df.groupby(['col5', 'col2']).size()"
convert a list of integers into a single integer,"r = int(''.join(map(str, x)))"
python regex alternative for join,"re.sub('(?<=\\w)(?=\\w)', '-', str)"
update all models at once in django,Model.objects.all().order_by('some_field').update(position=F(some_field) + 1)
get modified time of file `file`,time.ctime(os.path.getmtime(file))
how to get the index of dictionary with the highest value in a list of dictionary,"max(lst, key=lambda d: d['score'])"
"convert a list with string `['1', '2', '3']` into list with integers","map(int, ['1', '2', '3'])"
python copy a list of lists,new_list = [x[:] for x in old_list]
how to check if a value is in the list in selection from pandas data frame?,"df_new[df_new['l_ext'].isin([31, 22, 30, 25, 64])]"
print float `a` with two decimal points,"print(('{0:.2f}'.format(round(a, 2))))"
clone element with beautifulsoup,"document2.body.append(document1.find('div', id_='someid').clone())"
convert a datetime object `dt` to microtime,time.mktime(dt.timetuple()) + dt.microsecond / 1000000.0
getting 'str' object has no attribute 'get' in django,request.GET.get('id')
"slice `url` with '&' as delimiter  to get  ""http://www.domainname.com/page?content_item_id=1234"" from url ""http://www.domainname.com/page?content_item_id=1234&param2&param3
""",url.split('&')
"check if string 'x' is  in list `['x', 'd', 'a', 's', 'd', 's']`","'x' in ['x', 'd', 'a', 's', 'd', 's']"
numpy: find index of elements in one array that occur in another array,"np.searchsorted(A, np.intersect1d(A, B))"
using cumsum in pandas on group(),"data1.groupby(['Bool', 'Dir']).apply(lambda x: x['Data'].cumsum())"
"extract file name from path, no matter what the os/path format",print(os.path.basename(your_path))
"python, lxml and xpath - html table parsing",return [process_row(row) for row in table.xpath('./tr')]
python pandas- merging two data frames based on an index order,df2['cumcount'] = df2.groupby('val1').cumcount()
django set default value of field `b` equal to '0000000',"b = models.CharField(max_length=7, default='0000000', editable=False)"
how to generate all permutations of a list in python,"print(list(itertools.permutations([1, 2, 3, 4], 2)))"
get all environment variables,os.environ
convert list of tuples to multiple lists in python,"map(list, zip(*[(1, 2), (3, 4), (5, 6)]))"
get utc datetime in iso format,datetime.datetime.utcnow().isoformat()
mitm proxy over ssl hangs on wrap_socket with client,connection.send('HTTP/1.0 200 established\r\n\r\n')
how to iterate through a list of tuples containing three pair values?,"[(1, 'B', 'A'), (2, 'C', 'B'), (3, 'C', 'A')]"
removing backslashes from string,"print(""\\I don't know why ///I don't have the right answer\\"".strip('/'))"
how to remove leading and trailing zeros in a string? python,your_string.strip('0')
summing 2nd list items in a list of lists of lists,[[sum([x[1] for x in i])] for i in data]
perform a google search and return the number of results,"print(soup.find('div', {'id': 'resultStats'}).text)"
can i get a list of the variables that reference an other in python 2.7?,"['c', 'b', 'a', 'obj', 'a', 'a']"
how to rearrange pandas column sequence?,"['a', 'b', 'x', 'y']"
plot using the color code `#112233` in matplotlib pyplot,"pyplot.plot(x, y, color='#112233')"
order of operations in a dictionary comprehension,my_dict = {x[0]: x[1:] for x in my_list}
how to create inline objects with properties in python?,"obj = type('obj', (object,), {'propertyName': 'propertyValue'})"
split a list into nested lists on a value,"[[1, 4], [6, 9], [3, 9, 4]]"
remove non-ascii characters from a string using python / django,"""""""1 < 4 & 4 > 1"""""""
how do i read a random line from one file in python?,print(random.choice(list(open('file.txt'))))
make a flat list from list of lists `list2d`,list(itertools.chain.from_iterable(list2d))
convert generator object to a dictionary,{i: (i * 2) for i in range(10)}
how to remove square bracket from pandas dataframe,df['value'] = df['value'].str.strip('[]')
cannot import sqlite with python 2.6,sys.path.append('/your/dir/here')
string formatting in python,"print('[{0}, {1}, {2}]'.format(1, 2, 3))"
is there a way to disable built-in deadlines on app engine dev_appserver?,urlfetch.set_default_fetch_deadline(60)
using multiple colors in matplotlib plot,plt.show()
convert list of tuples to multiple lists in python,"map(list, zip(*[(1, 2), (3, 4), (5, 6)]))"
fastest way to remove all multiple occurrence items from a list?,list_of_lists = [list(k) for k in list_of_tuples]
group by multiple time units in pandas data frame,dfts.groupby(lambda x: x.month).mean()
remove characters in '!@#$' from a string `line`,"line = line.translate(string.maketrans('', ''), '!@#$')"
how to i get the current ipython notebook name,"print(('NOTEBOOK_FULL_PATH:\n', NOTEBOOK_FULL_PATH))"
creating a list of dictionaries in python,"[{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]"
convert array `x` into a correlation matrix,np.corrcoef(x)
using selenium in the background,driver.quit()
break string into list elements based on keywords,"['Na', '2', 'S', 'O', '4', 'Mn', 'O', '4']"
efficiently change a key of a python dict,"a_send = dict((k[0], v) for k, v in list(a.items()))"
dynamic order in django-mptt,Comment.objects.all().order_by('-hotness')
round number 2.0005 up to 3 decimal places,"round(2.0005, 3)"
python: finding a (string) key in a dictionary that contains a substring,"[(k, v) for k, v in D.items() if 'Light' in k]"
inheritance of attributes in python using _init_,"super(Teenager, self).__init__(name, phone)"
adding url `url` to mysql row,"cursor.execute('INSERT INTO index(url) VALUES(%s)', (url,))"
changing image hue with python pil,img = Image.open('tweeter.png').convert('RGBA')
how to plot events on time on using matplotlib,plt.show()
remove items from a list while iterating,somelist[:] = [x for x in somelist if not determine(x)]
add legends to linecollection plot,plt.show()
extract date from a string `monkey 10/01/1980 love banana`,"dparser.parse('monkey 10/01/1980 love banana', fuzzy=True)"
replace all occurences of newlines `\n` with `<br>` in dataframe `df`,"df.replace({'\n': '<br>'}, regex=True)"
separating a string,"['abcd', 'a,bcd', 'a,b,cd', 'a,b,c,d', 'a,bc,d', 'ab,cd', 'ab,c,d', 'abc,d']"
split string 'happy_hats_for_cats' using string '_for_',"re.split('_for_', 'happy_hats_for_cats')"
using variables in python regular expression,re.compile('{}-\\d*'.format(user))
how to find out if there is data to be read from stdin on windows in python?,os.isatty(sys.stdin.fileno())
typeerror in django with python 2.7,"MEDIA_ROOT = os.path.join(os.path.dirname(file), 'media').replace('\\\\', '//')"
convert a list of dictionaries `listofdict into a dictionary of dictionaries,"dict((d['name'], d) for d in listofdict)"
how to overwrite a file in python?,"open('some_path', 'r+')"
how to check if a value exists in a dictionary (python),type(iter(d.values()))
print backslash,print('\\')
"pythonic way to fetch all elements in a dictionary, falling between two keys?","{key: val for key, val in parent_dict.items() if 2 < key < 4}"
reverse mapping of dictionary with python,"dict(map(lambda a: [a[1], a[0]], iter(d.items())))"
how to replace all non-numeric entries with nan in a pandas dataframe?,df[df.applymap(isnumber)]
python pandas: check if any value is nan in dataframe,df.isnull().values.any()
global variable in python server,sys.exit()
how to handle delete in google app engine (python),self.response.out.write(key)
